ID;Numero;Check in;Check-out;Notti;Camere;Ospiti;Ospiti minorenni;Ospiti maggiorenni;Ospiti esenti;Cittadinanza;Canale;Codice OTA;Stato;Addebiti;Addebito soggiorno;Addebito tassa di soggiorno;Altri addebiti;Commissioni;Commissioni trattenute;Proprietario;Quota Proprietario;Quota PM
A001;KB00015;11/08/2026;14/08/2026;3;1;2;0;2;0;NL;Airbnb;AI-973890;Confermata;370,00;285,00;15,00;70,00;53,25;Sì;Pianeta Casa Srl;;
A001;KB00016;15/08/2026;18/08/2026;3;1;2;1;1;1;ES;Diretto;DI-255753;Confermata;347,50;285,00;7,50;55,00;0,00;No;Pianeta Casa Srl;;
A001;KB00017;19/08/2026;23/08/2026;4;1;2;0;2;0;CH;Booking.com;BO-564062;Confermata;400,00;380,00;20,00;0,00;68,40;Sì;Pianeta Casa Srl;;
A001;KB00018;23/08/2026;28/08/2026;5;1;2;0;2;0;FR;Airbnb;AI-908841;Confermata;575,00;475,00;20,00;80,00;83,25;Sì;Pianeta Casa Srl;;
A002;KB00019;01/06/2026;03/06/2026;2;1;1;0;1;0;CH;Airbnb;AI-982900;Confermata;425,00;350,00;5,00;70,00;63,00;Sì;Pianeta Casa Srl;;
A002;KB00020;04/06/2026;06/06/2026;2;1;1;0;1;0;ES;Booking.com;BO-871408;Confermata;415,00;350,00;5,00;60,00;73,80;Sì;Pianeta Casa Srl;;
A002;KB00021;06/06/2026;11/06/2026;5;1;2;2;0;2;NL;Airbnb;AI-507113;Confermata;930,00;875,00;0,00;55,00;139,50;Sì;Pianeta Casa Srl;;
A002;KB00022;12/06/2026;15/06/2026;3;1;1;0;1;0;DE;Booking.com;BO-311637;Confermata;612,50;525,00;7,50;80,00;108,90;Sì;Pianeta Casa Srl;;
A002;KB00023;15/06/2026;18/06/2026;3;1;2;1;1;1;FR;Airbnb;AI-389553;Confermata;612,50;525,00;7,50;80,00;90,75;Sì;Pianeta Casa Srl;;
A002;KB00024;18/06/2026;21/06/2026;3;1;2;0;2;0;FR;Booking.com;BO-945703;Confermata;585,00;525,00;15,00;45,00;102,60;Sì;Pianeta Casa Srl;;
A002;KB00025;22/06/2026;26/06/2026;4;1;1;0;1;0;IT;Booking.com;BO-687360;Confermata;765,00;700,00;10,00;55,00;135,90;Sì;Pianeta Casa Srl;;
A002;KB00026;29/06/2026;02/07/2026;3;1;1;0;1;0;ES;Airbnb;AI-443898;Annullata;577,50;525,00;7,50;45,00;85,50;Sì;Pianeta Casa Srl;;
A002;KB00027;02/07/2026;09/07/2026;7;1;2;0;2;0;FR;Airbnb;AI-490152;Confermata;1606,25;1531,25;20,00;55,00;237,94;Sì;Pianeta Casa Srl;;
A002;KB00028;09/07/2026;13/07/2026;4;1;2;0;2;0;FR;Airbnb;AI-239949;Annullata;895,00;875,00;20,00;0,00;131,25;Sì;Pianeta Casa Srl;;
A002;KB00029;16/07/2026;20/07/2026;4;1;2;0;2;0;NL;Airbnb;AI-681846;Annullata;965,00;875,00;20,00;70,00;141,75;Sì;Pianeta Casa Srl;;
A002;KB00030;21/07/2026;25/07/2026;4;1;2;0;2;0;NL;Booking.com;BO-248506;Confermata;965,00;875,00;20,00;70,00;170,10;Sì;Pianeta Casa Srl;;
A002;KB00031;26/07/2026;30/07/2026;4;1;2;0;2;0;GB;Booking.com;BO-414702;Confermata;895,00;875,00;20,00;0,00;157,50;Sì;Pianeta Casa Srl;;
A002;KB00032;31/07/2026;04/08/2026;4;1;1;0;1;0;US;Airbnb;AI-848470;Confermata;965,00;875,00;10,00;80,00;143,25;Sì;Pianeta Casa Srl;;
A002;KB00033;05/08/2026;08/08/2026;3;1;1;0;1;0;DE;Airbnb;AI-728222;Confermata;612,50;525,00;7,50;80,00;90,75;Sì;Pianeta Casa Srl;;
A002;KB00034;08/08/2026;15/08/2026;7;1;1;0;1;0;ES;Booking.com;BO-551084;Confermata;1280,00;1225,00;10,00;45,00;228,60;Sì;Pianeta Casa Srl;;
A002;KB00035;16/08/2026;19/08/2026;3;1;1;0;1;0;DE;Airbnb;AI-458623;Confermata;532,50;525,00;7,50;0,00;78,75;Sì;Pianeta Casa Srl;;
A002;KB00036;22/08/2026;24/08/2026;2;1;1;0;1;0;NL;Booking.com;BO-183813;Confermata;410,00;350,00;5,00;55,00;72,90;Sì;Pianeta Casa Srl;;
A003;KB00037;01/06/2026;04/06/2026;3;1;2;2;0;2;US;Airbnb;AI-727521;Confermata;390,00;330,00;0,00;60,00;58,50;Sì;Pianeta Casa Srl;;
A003;KB00038;04/06/2026;07/06/2026;3;1;3;0;3;0;IT;Diretto;DI-730697;Confermata;412,50;330,00;22,50;60,00;0,00;No;Pianeta Casa Srl;;
A003;KB00039;10/06/2026;14/06/2026;4;1;2;1;1;1;CH;Booking.com;BO-213440;Confermata;510,00;440,00;10,00;60,00;90,00;Sì;Pianeta Casa Srl;;
A003;KB00040;14/06/2026;18/06/2026;4;1;4;0;4;0;US;Booking.com;BO-957621;Confermata;535,00;440,00;40,00;55,00;89,10;Sì;Pianeta Casa Srl;;
A003;KB00041;18/06/2026;25/06/2026;7;1;4;0;4;0;US;Booking.com;BO-498773;Confermata;880,00;770,00;40,00;70,00;151,20;Sì;Pianeta Casa Srl;;
A003;KB00042;26/06/2026;30/06/2026;4;1;2;0;2;0;GB;Airbnb;AI-103690;Confermata;540,00;440,00;20,00;80,00;78,00;Sì;Pianeta Casa Srl;;
A003;KB00043;30/06/2026;03/07/2026;3;1;1;0;1;0;CH;Booking.com;BO-594259;Confermata;382,50;330,00;7,50;45,00;67,50;Sì;Pianeta Casa Srl;;
A003;KB00044;05/07/2026;10/07/2026;5;1;4;1;3;1;GB;Airbnb;AI-724841;Confermata;717,50;687,50;30,00;0,00;103,13;Sì;Pianeta Casa Srl;;
A003;KB00045;11/07/2026;13/07/2026;2;1;2;1;1;1;ES;Booking.com;BO-932121;Confermata;335,00;275,00;5,00;55,00;59,40;Sì;Pianeta Casa Srl;;
A003;KB00046;14/07/2026;18/07/2026;4;1;4;0;4;0;IT;Booking.com;BO-852081;Annullata;670,00;550,00;40,00;80,00;113,40;Sì;Pianeta Casa Srl;;
A003;KB00047;19/07/2026;24/07/2026;5;1;4;2;2;2;US;Airbnb;AI-424507;Confermata;767,50;687,50;20,00;60,00;112,13;Sì;Pianeta Casa Srl;;
A003;KB00048;25/07/2026;29/07/2026;4;1;2;0;2;0;CH;Airbnb;AI-830452;Confermata;625,00;550,00;20,00;55,00;90,75;Sì;Pianeta Casa Srl;;
A003;KB00049;29/07/2026;01/08/2026;3;1;3;0;3;0;FR;Diretto;DI-976054;Confermata;495,00;412,50;22,50;60,00;0,00;No;Pianeta Casa Srl;;
A003;KB00050;04/08/2026;06/08/2026;2;1;3;0;3;0;GB;Booking.com;BO-647272;Confermata;315,00;220,00;15,00;80,00;54,00;Sì;Pianeta Casa Srl;;
A003;KB00051;08/08/2026;10/08/2026;2;1;1;0;1;0;ES;Airbnb;AI-772619;Confermata;270,00;220,00;5,00;45,00;39,75;Sì;Pianeta Casa Srl;;
A003;KB00052;12/08/2026;15/08/2026;3;1;1;0;1;0;ES;Airbnb;AI-233604;Confermata;392,50;330,00;7,50;55,00;57,75;Sì;Pianeta Casa Srl;;
A003;KB00053;16/08/2026;18/08/2026;2;1;3;0;3;0;IT;Booking.com;BO-754577;Confermata;280,00;220,00;15,00;45,00;47,70;Sì;Pianeta Casa Srl;;
A003;KB00054;19/08/2026;21/08/2026;2;1;4;0;4;0;US;Airbnb;AI-367962;Confermata;285,00;220,00;20,00;45,00;39,75;Sì;Pianeta Casa Srl;;
A003;KB00055;22/08/2026;25/08/2026;3;1;1;0;1;0;FR;Booking.com;BO-542270;Confermata;337,50;330,00;7,50;0,00;59,40;Sì;Pianeta Casa Srl;;
A004;KB00056;04/06/2026;08/06/2026;4;2;3;0;3;0;IT;Booking.com;BO-614311;Confermata;605,00;520,00;30,00;55,00;103,50;Sì;Pianeta Casa Srl;;
A004;KB00057;08/06/2026;10/06/2026;2;2;2;1;1;1;CH;Booking.com;BO-485275;Confermata;335,00;260,00;5,00;70,00;59,40;Sì;Pianeta Casa Srl;;
A004;KB00058;12/06/2026;14/06/2026;2;2;4;1;3;1;GB;Booking.com;BO-501097;Confermata;355,00;260,00;15,00;80,00;61,20;Sì;Pianeta Casa Srl;;
A004;KB00059;17/06/2026;21/06/2026;4;2;5;0;5;0;CH;Airbnb;AI-306368;Confermata;650,00;520,00;50,00;80,00;90,00;Sì;Pianeta Casa Srl;;
A004;KB00060;21/06/2026;28/06/2026;7;2;2;0;2;0;IT;Booking.com;BO-921399;Confermata;1010,00;910,00;20,00;80,00;178,20;Sì;Pianeta Casa Srl;;
A004;KB00061;01/07/2026;04/07/2026;3;2;1;0;1;0;US;Airbnb;AI-286238;Confermata;565,00;487,50;7,50;70,00;83,63;Sì;Pianeta Casa Srl;;
A004;KB00062;06/07/2026;10/07/2026;4;2;2;2;0;2;FR;Booking.com;BO-597102;Confermata;730,00;650,00;0,00;80,00;131,40;Sì;Pianeta Casa Srl;;
A004;KB00063;11/07/2026;15/07/2026;4;2;4;1;3;1;FR;Booking.com;BO-956325;Confermata;725,00;650,00;30,00;45,00;125,10;Sì;Pianeta Casa Srl;;
A004;KB00064;15/07/2026;20/07/2026;5;2;3;2;1;2;US;Airbnb;AI-580224;Confermata;877,50;812,50;10,00;55,00;130,13;Sì;Pianeta Casa Srl;;
A004;KB00065;20/07/2026;24/07/2026;4;2;4;2;2;2;CH;Booking.com;BO-178011;Confermata;750,00;650,00;20,00;80,00;131,40;Sì;Pianeta Casa Srl;;
A004;KB00066;24/07/2026;27/07/2026;3;2;3;0;3;0;IT;Diretto;DI-636770;Confermata;510,00;487,50;22,50;0,00;0,00;No;Pianeta Casa Srl;;
A004;KB00067;27/07/2026;01/08/2026;5;2;2;0;2;0;US;Airbnb;AI-650160;Confermata;832,50;812,50;20,00;0,00;121,88;Sì;Pianeta Casa Srl;;
A004;KB00068;01/08/2026;08/08/2026;7;2;1;0;1;0;US;Airbnb;AI-380267;Confermata;1000,00;910,00;10,00;80,00;148,50;Sì;Pianeta Casa Srl;;
A004;KB00069;10/08/2026;15/08/2026;5;2;4;0;4;0;IT;Booking.com;BO-933409;Confermata;690,00;650,00;40,00;0,00;117,00;Sì;Pianeta Casa Srl;;
A004;KB00070;16/08/2026;19/08/2026;3;2;2;2;0;2;GB;Airbnb;AI-851146;Confermata;445,00;390,00;0,00;55,00;66,75;Sì;Pianeta Casa Srl;;
A004;KB00071;19/08/2026;24/08/2026;5;2;5;0;5;0;US;Booking.com;BO-462985;Confermata;760,00;650,00;50,00;60,00;127,80;Sì;Pianeta Casa Srl;;
A005;KB00072;03/06/2026;05/06/2026;2;1;2;0;2;0;GB;Booking.com;BO-700612;Annullata;310,00;220,00;10,00;80,00;54,00;Sì;Pianeta Casa Srl;;
A005;KB00073;06/06/2026;09/06/2026;3;1;1;0;1;0;NL;Booking.com;BO-924425;Confermata;417,50;330,00;7,50;80,00;73,80;Sì;Pianeta Casa Srl;;
A005;KB00074;09/06/2026;14/06/2026;5;1;1;0;1;0;DE;Airbnb;AI-771083;Confermata;620,00;550,00;10,00;60,00;91,50;Sì;Pianeta Casa Srl;;
A005;KB00075;17/06/2026;20/06/2026;3;1;2;0;2;0;US;Airbnb;AI-645136;Confermata;400,00;330,00;15,00;55,00;57,75;Sì;Pianeta Casa Srl;;
A005;KB00076;20/06/2026;23/06/2026;3;1;1;0;1;0;GB;Airbnb;AI-851250;Confermata;337,50;330,00;7,50;0,00;49,50;Sì;Pianeta Casa Srl;;
A005;KB00077;23/06/2026;27/06/2026;4;1;2;0;2;0;DE;Airbnb;AI-415146;Confermata;520,00;440,00;20,00;60,00;75,00;Sì;Pianeta Casa Srl;;
A005;KB00078;28/06/2026;02/07/2026;4;1;2;2;0;2;FR;Booking.com;BO-310630;Confermata;495,00;440,00;0,00;55,00;89,10;Sì;Pianeta Casa Srl;;
A005;KB00079;03/07/2026;10/07/2026;7;1;1;0;1;0;GB;Booking.com;BO-882856;Confermata;1052,50;962,50;10,00;80,00;187,65;Sì;Pianeta Casa Srl;;
A005;KB00080;12/07/2026;17/07/2026;5;1;2;0;2;0;US;Booking.com;BO-119840;Confermata;707,50;687,50;20,00;0,00;123,75;Sì;Pianeta Casa Srl;;
A005;KB00081;20/07/2026;27/07/2026;7;1;1;0;1;0;DE;Airbnb;AI-844865;Confermata;1027,50;962,50;10,00;55,00;152,63;Sì;Pianeta Casa Srl;;
A005;KB00082;30/07/2026;06/08/2026;7;1;2;2;0;2;ES;Airbnb;AI-780032;Confermata;1032,50;962,50;0,00;70,00;154,88;Sì;Pianeta Casa Srl;;
A005;KB00083;08/08/2026;12/08/2026;4;1;2;1;1;1;GB;Airbnb;AI-701689;Confermata;495,00;440,00;10,00;45,00;72,75;Sì;Pianeta Casa Srl;;
A005;KB00084;12/08/2026;19/08/2026;7;1;2;0;2;0;CH;Airbnb;AI-410896;Confermata;860,00;770,00;20,00;70,00;126,00;Sì;Pianeta Casa Srl;;
A005;KB00085;19/08/2026;24/08/2026;5;1;2;0;2;0;ES;Diretto;DI-450528;Confermata;570,00;550,00;20,00;0,00;0,00;No;Pianeta Casa Srl;;
A005;KB00086;24/08/2026;27/08/2026;3;1;2;0;2;0;US;Booking.com;BO-414438;Confermata;390,00;330,00;15,00;45,00;67,50;Sì;Pianeta Casa Srl;;
A005;KB00087;28/08/2026;30/08/2026;2;1;1;0;1;0;IT;Booking.com;BO-322386;Confermata;270,00;220,00;5,00;45,00;47,70;Sì;Pianeta Casa Srl;;
A006;KB00088;01/06/2026;06/06/2026;5;1;1;0;1;0;FR;Airbnb;AI-830305;Confermata;660,00;650,00;10,00;0,00;97,50;Sì;Pianeta Casa Srl;;
A006;KB00089;09/06/2026;14/06/2026;5;1;1;0;1;0;ES;Booking.com;BO-793384;Confermata;730,00;650,00;10,00;70,00;129,60;Sì;Pianeta Casa Srl;;
A006;KB00090;17/06/2026;20/06/2026;3;1;2;0;2;0;IT;Booking.com;BO-474361;Confermata;405,00;390,00;15,00;0,00;70,20;Sì;Pianeta Casa Srl;;
A006;KB00091;20/06/2026;24/06/2026;4;1;1;0;1;0;FR;Airbnb;AI-589905;Confermata;575,00;520,00;10,00;45,00;84,75;Sì;Pianeta Casa Srl;;
A006;KB00092;24/06/2026;28/06/2026;4;1;2;0;2;0;FR;Booking.com;BO-692679;Confermata;620,00;520,00;20,00;80,00;108,00;Sì;Pianeta Casa Srl;;
A006;KB00093;29/06/2026;03/07/2026;4;1;1;0;1;0;CH;Airbnb;AI-810797;Confermata;575,00;520,00;10,00;45,00;84,75;Sì;Pianeta Casa Srl;;
A006;KB00094;03/07/2026;06/07/2026;3;1;2;0;2;0;CH;Booking.com;BO-809044;Annullata;582,50;487,50;15,00;80,00;102,15;Sì;Pianeta Casa Srl;;
A006;KB00095;09/07/2026;14/07/2026;5;1;1;0;1;0;NL;Booking.com;BO-737879;Confermata;867,50;812,50;10,00;45,00;154,35;Sì;Pianeta Casa Srl;;
A006;KB00096;14/07/2026;21/07/2026;7;1;1;0;1;0;IT;Booking.com;BO-231140;Confermata;1192,50;1137,50;10,00;45,00;212,85;Sì;Pianeta Casa Srl;;
A006;KB00097;21/07/2026;25/07/2026;4;1;2;1;1;1;DE;Booking.com;BO-183379;Confermata;720,00;650,00;10,00;60,00;127,80;Sì;Pianeta Casa Srl;;
A006;KB00098;28/07/2026;02/08/2026;5;1;1;0;1;0;NL;Booking.com;BO-536223;Confermata;902,50;812,50;10,00;80,00;160,65;Sì;Pianeta Casa Srl;;
A006;KB00099;05/08/2026;10/08/2026;5;1;2;0;2;0;GB;Booking.com;BO-681711;Confermata;730,00;650,00;20,00;60,00;127,80;Sì;Pianeta Casa Srl;;
A006;KB00100;10/08/2026;13/08/2026;3;1;1;0;1;0;FR;Booking.com;BO-179452;Confermata;397,50;390,00;7,50;0,00;70,20;Sì;Pianeta Casa Srl;;
A006;KB00101;16/08/2026;18/08/2026;2;1;2;1;1;1;CH;Booking.com;BO-781466;Confermata;265,00;260,00;5,00;0,00;46,80;Sì;Pianeta Casa Srl;;
A006;KB00102;19/08/2026;22/08/2026;3;1;1;0;1;0;FR;Diretto;DI-465320;Confermata;457,50;390,00;7,50;60,00;0,00;No;Pianeta Casa Srl;;
A006;KB00103;22/08/2026;24/08/2026;2;1;1;0;1;0;IT;Booking.com;BO-129242;Confermata;320,00;260,00;5,00;55,00;56,70;Sì;Pianeta Casa Srl;;
A006;KB00104;24/08/2026;27/08/2026;3;1;2;2;0;2;DE;Diretto;DI-652805;Confermata;460,00;390,00;0,00;70,00;0,00;No;Pianeta Casa Srl;;
A007;KB00105;02/06/2026;07/06/2026;5;1;1;0;1;0;US;Booking.com;BO-912860;Confermata;965,00;875,00;10,00;80,00;171,90;Sì;Pianeta Casa Srl;;
A007;KB00106;10/06/2026;17/06/2026;7;1;2;0;2;0;CH;Airbnb;AI-728280;Confermata;1300,00;1225,00;20,00;55,00;192,00;Sì;Pianeta Casa Srl;;
A007;KB00107;17/06/2026;20/06/2026;3;1;2;1;1;1;GB;Airbnb;AI-187489;Confermata;612,50;525,00;7,50;80,00;90,75;Sì;Pianeta Casa Srl;;
A007;KB00108;20/06/2026;22/06/2026;2;1;3;0;3;0;FR;Airbnb;AI-363677;Confermata;365,00;350,00;15,00;0,00;52,50;Sì;Pianeta Casa Srl;;
A007;KB00109;23/06/2026;26/06/2026;3;1;2;0;2;0;DE;Diretto;DI-313590;Confermata;540,00;525,00;15,00;0,00;0,00;No;Pianeta Casa Srl;;
A007;KB00110;28/06/2026;05/07/2026;7;1;3;0;3;0;GB;Airbnb;AI-664383;Confermata;1325,00;1225,00;30,00;70,00;194,25;Sì;Pianeta Casa Srl;;
A007;KB00111;05/07/2026;09/07/2026;4;1;3;0;3;0;DE;Booking.com;BO-904228;Confermata;905,00;875,00;30,00;0,00;157,50;Sì;Pianeta Casa Srl;;
A007;KB00112;11/07/2026;13/07/2026;2;1;2;2;0;2;US;Airbnb;AI-966214;Confermata;437,50;437,50;0,00;0,00;65,63;Sì;Pianeta Casa Srl;;
A007;KB00113;14/07/2026;17/07/2026;3;1;3;0;3;0;US;Airbnb;AI-429993;Confermata;758,75;656,25;22,50;80,00;110,44;Sì;Pianeta Casa Srl;;
A007;KB00114;17/07/2026;24/07/2026;7;1;1;0;1;0;NL;Diretto;DI-222325;Confermata;1621,25;1531,25;10,00;80,00;0,00;No;Pianeta Casa Srl;;
A007;KB00115;26/07/2026;28/07/2026;2;1;3;0;3;0;FR;Booking.com;BO-683869;Confermata;452,50;437,50;15,00;0,00;78,75;Sì;Pianeta Casa Srl;;
A007;KB00116;31/07/2026;03/08/2026;3;1;3;0;3;0;GB;Booking.com;BO-759115;Confermata;678,75;656,25;22,50;0,00;118,13;Sì;Pianeta Casa Srl;;
A007;KB00117;03/08/2026;05/08/2026;2;1;1;0;1;0;CH;Airbnb;AI-719531;Confermata;410,00;350,00;5,00;55,00;60,75;Sì;Pianeta Casa Srl;;
A007;KB00118;05/08/2026;09/08/2026;4;1;1;0;1;0;IT;Diretto;DI-410853;Confermata;770,00;700,00;10,00;60,00;0,00;No;Pianeta Casa Srl;;
A007;KB00119;09/08/2026;12/08/2026;3;1;1;0;1;0;DE;Booking.com;BO-375495;Confermata;612,50;525,00;7,50;80,00;108,90;Sì;Pianeta Casa Srl;;
A007;KB00120;14/08/2026;16/08/2026;2;1;2;0;2;0;IT;Airbnb;AI-752718;Confermata;405,00;350,00;10,00;45,00;59,25;Sì;Pianeta Casa Srl;;
A007;KB00121;16/08/2026;20/08/2026;4;1;2;1;1;1;NL;Airbnb;AI-735007;Confermata;765,00;700,00;10,00;55,00;113,25;Sì;Pianeta Casa Srl;;
A007;KB00122;21/08/2026;23/08/2026;2;1;3;1;2;1;US;Booking.com;BO-832198;Confermata;440,00;350,00;10,00;80,00;77,40;Sì;Pianeta Casa Srl;;
A008;KB00123;03/06/2026;06/06/2026;3;3;3;1;2;1;GB;Booking.com;BO-531776;Confermata;270,00;255,00;15,00;0,00;45,90;Sì;Pianeta Casa Srl;;
A008;KB00124;07/06/2026;10/06/2026;3;3;3;0;3;0;GB;Diretto;DI-971221;Confermata;277,50;255,00;22,50;0,00;0,00;No;Pianeta Casa Srl;;
A008;KB00125;13/06/2026;17/06/2026;4;3;4;2;2;2;ES;Airbnb;AI-937562;Confermata;405,00;340,00;20,00;45,00;57,75;Sì;Pianeta Casa Srl;;
A008;KB00126;18/06/2026;20/06/2026;2;3;5;0;5;0;CH;Booking.com;BO-337373;Confermata;195,00;170,00;25,00;0,00;30,60;Sì;Pianeta Casa Srl;;
A008;KB00127;20/06/2026;23/06/2026;3;3;3;2;1;2;US;Booking.com;BO-135626;Confermata;307,50;255,00;7,50;45,00;54,00;Sì;Pianeta Casa Srl;;
A008;KB00128;26/06/2026;28/06/2026;2;3;5;2;3;2;US;Diretto;DI-595521;Confermata;240,00;170,00;15,00;55,00;0,00;No;Pianeta Casa Srl;;
A008;KB00129;01/07/2026;04/07/2026;3;3;1;0;1;0;FR;Airbnb;AI-651648;Confermata;386,25;318,75;7,50;60,00;56,81;Sì;Pianeta Casa Srl;;
A008;KB00130;05/07/2026;09/07/2026;4;3;1;0;1;0;DE;Diretto;DI-228680;Confermata;435,00;425,00;10,00;0,00;0,00;No;Pianeta Casa Srl;;
A008;KB00131;10/07/2026;15/07/2026;5;3;3;2;1;2;US;Booking.com;BO-771974;Confermata;596,25;531,25;10,00;55,00;105,53;Sì;Pianeta Casa Srl;;
A008;KB00132;15/07/2026;20/07/2026;5;3;3;0;3;0;NL;Booking.com;BO-855633;Confermata;621,25;531,25;30,00;60,00;106,43;Sì;Pianeta Casa Srl;;
A008;KB00133;20/07/2026;25/07/2026;5;3;4;0;4;0;CH;Booking.com;BO-646028;Confermata;616,25;531,25;40,00;45,00;103,73;Sì;Pianeta Casa Srl;;
A008;KB00134;25/07/2026;01/08/2026;7;3;1;0;1;0;GB;Airbnb;AI-341313;Confermata;753,75;743,75;10,00;0,00;111,56;Sì;Pianeta Casa Srl;;
A008;KB00135;01/08/2026;03/08/2026;2;3;2;0;2;0;ES;Airbnb;AI-495772;Confermata;260,00;170,00;10,00;80,00;37,50;Sì;Pianeta Casa Srl;;
A008;KB00136;04/08/2026;09/08/2026;5;3;3;0;3;0;FR;Airbnb;AI-781418;Confermata;455,00;425,00;30,00;0,00;63,75;Sì;Pianeta Casa Srl;;
A008;KB00137;10/08/2026;13/08/2026;3;3;2;0;2;0;NL;Diretto;DI-262985;Confermata;270,00;255,00;15,00;0,00;0,00;No;Pianeta Casa Srl;;
A008;KB00138;14/08/2026;16/08/2026;2;3;3;0;3;0;ES;Diretto;DI-164378;Confermata;230,00;170,00;15,00;45,00;0,00;No;Pianeta Casa Srl;;
A008;KB00139;16/08/2026;19/08/2026;3;3;2;0;2;0;GB;Airbnb;AI-308758;Confermata;340,00;255,00;15,00;70,00;48,75;Sì;Pianeta Casa Srl;;
A008;KB00140;19/08/2026;24/08/2026;5;3;5;1;4;1;US;Airbnb;AI-674948;Confermata;510,00;425,00;40,00;45,00;70,50;Sì;Pianeta Casa Srl;;
A008;KB00141;24/08/2026;31/08/2026;7;3;3;0;3;0;ES;Booking.com;BO-445973;Confermata;625,00;595,00;30,00;0,00;107,10;Sì;Pianeta Casa Srl;;
A009;KB00142;01/06/2026;06/06/2026;5;2;3;2;1;2;DE;Diretto;DI-996110;Confermata;740,00;650,00;10,00;80,00;0,00;No;Marco Serra;;
A009;KB00143;07/06/2026;10/06/2026;3;2;3;0;3;0;GB;Airbnb;AI-187950;Annullata;472,50;390,00;22,50;60,00;67,50;Sì;Marco Serra;;
A009;KB00144;10/06/2026;13/06/2026;3;2;1;0;1;0;IT;Airbnb;AI-567750;Confermata;442,50;390,00;7,50;45,00;65,25;Sì;Marco Serra;;
A009;KB00145;15/06/2026;19/06/2026;4;2;1;0;1;0;US;Airbnb;AI-340381;Confermata;590,00;520,00;10,00;60,00;87,00;Sì;Marco Serra;;
A009;KB00146;22/06/2026;24/06/2026;2;2;1;0;1;0;IT;Booking.com;BO-547257;Confermata;310,00;260,00;5,00;45,00;54,90;Sì;Marco Serra;;
A009;KB00147;27/06/2026;02/07/2026;5;2;4;0;4;0;ES;Airbnb;AI-751328;Confermata;735,00;650,00;40,00;45,00;104,25;Sì;Marco Serra;;
A009;KB00148;03/07/2026;10/07/2026;7;2;3;0;3;0;CH;Diretto;DI-572460;Confermata;1167,50;1137,50;30,00;0,00;0,00;No;Marco Serra;;
A009;KB00149;11/07/2026;14/07/2026;3;2;2;0;2;0;CH;Booking.com;BO-915468;Confermata;547,50;487,50;15,00;45,00;95,85;Sì;Marco Serra;;
